,state_name,state,congress,s_upper,s_lower,election_name,race_type,voter_power
252,Michigan,26,NA,NA,57,State House District 57,State Leg (Lower),95
253,Michigan,26,NA,NA,58,State House District 58,State Leg (Lower),97
254,Michigan,26,NA,NA,59,State House District 59,State Leg (Lower),11
255,Michigan,26,NA,NA,60,State House District 60,State Leg (Lower),37
256,Michigan,26,NA,NA,61,State House District 61,State Leg (Lower),95
257,Michigan,26,NA,NA,62,State House District 62,State Leg (Lower),95
258,Michigan,26,NA,NA,63,State House District 63,State Leg (Lower),12
259,Michigan,26,NA,NA,64,State House District 64,State Leg (Lower),35
260,Michigan,26,NA,NA,65,State House District 65,State Leg (Lower),4
261,Michigan,26,NA,NA,66,State House District 66,State Leg (Lower),8
262,Michigan,26,NA,NA,67,State House District 67,State Leg (Lower),31
263,Michigan,26,NA,NA,68,State House District 68,State Leg (Lower),91
264,Michigan,26,NA,NA,69,State House District 69,State Leg (Lower),26
265,Michigan,26,NA,NA,70,State House District 70,State Leg (Lower),1
266,Michigan,26,NA,NA,71,State House District 71,State Leg (Lower),31
267,Michigan,26,NA,NA,72,State House District 72,State Leg (Lower),54
268,Michigan,26,NA,NA,73,State House District 73,State Leg (Lower),46
269,Michigan,26,NA,NA,74,State House District 74,State Leg (Lower),5
270,Michigan,26,NA,NA,75,State House District 75,State Leg (Lower),18
271,Michigan,26,NA,NA,76,State House District 76,State Leg (Lower),91
272,Michigan,26,NA,NA,77,State House District 77,State Leg (Lower),13
273,Michigan,26,NA,NA,78,State House District 78,State Leg (Lower),11
274,Michigan,26,NA,NA,79,State House District 79,State Leg (Lower),6
275,Michigan,26,NA,NA,80,State House District 80,State Leg (Lower),53
276,Michigan,26,NA,NA,81,State House District 81,State Leg (Lower),73
277,Michigan,26,NA,NA,82,State House District 82,State Leg (Lower),2
278,Michigan,26,NA,NA,83,State House District 83,State Leg (Lower),83
279,Michigan,26,NA,NA,84,State House District 84,State Leg (Lower),87
280,Michigan,26,NA,NA,85,State House District 85,State Leg (Lower),3
281,Michigan,26,NA,NA,86,State House District 86,State Leg (Lower),68
282,Michigan,26,NA,NA,87,State House District 87,State Leg (Lower),16
283,Michigan,26,NA,NA,88,State House District 88,State Leg (Lower),45
284,Michigan,26,NA,NA,89,State House District 89,State Leg (Lower),6
285,Michigan,26,NA,NA,90,State House District 90,State Leg (Lower),16
286,Michigan,26,NA,NA,91,State House District 91,State Leg (Lower),7
287,Michigan,26,NA,NA,92,State House District 92,State Leg (Lower),85
288,Michigan,26,NA,NA,93,State House District 93,State Leg (Lower),11
289,Michigan,26,NA,NA,94,State House District 94,State Leg (Lower),5
290,Michigan,26,NA,NA,95,State House District 95,State Leg (Lower),26
291,Michigan,26,NA,NA,96,State House District 96,State Leg (Lower),89
292,Michigan,26,NA,NA,97,State House District 97,State Leg (Lower),11
293,Michigan,26,NA,NA,98,State House District 98,State Leg (Lower),4
294,Michigan,26,NA,NA,99,State House District 99,State Leg (Lower),9
